category,a,b,c
Temp Roadwork Traffic Signals,Road Works,Grounds Maintenance,Road Safety & Defects
Street Light,Street Lights,Street Lights,Road Safety & Defects
Barriers,Street Furniture,Street Furniture,Road Safety & Defects
Street lighting,Street Lights,Street Lights,Road Safety & Defects
Verges - Damaged by Vehicles,Verge Damage,Road Safety,Road Safety & Defects
General (Bridge & Struc.),Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
Conditions of Signs,Street Signs,Street Furniture,Road Safety & Defects
Surface Defect on a road or footway,Road Surface Defects,Pavement /Footway Defects,Road Safety & Defects
Missed Grass Cutting,Grass/Weed Control,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Parks & Green Spaces,Open Spaces/Parks,Open Spaces/Parks,Public Space
Lamp Obscured,Street Lights,Street Lights,Road Safety & Defects
Graffiti and Flyposting,Graffiti,Incivilities,Incivilities
Parking,Parking,Parking,Abandoned Vehicles & Parking
Subway Light Out or Flickering,Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
Utility Box/ cover damaged,Utility Works,Utility Works,Environmental Disruptions
Crossings,Pavement /Footway Defects,,
Highways Obstructions,Obstruction,Right of Way,Access
Damaged structure,Other,Other,Other
Manholes,Gully/Manhole Defects,Drainage,Environmental Health
Subway,Street Lights,Street Lights,Road Safety & Defects
Highway Improvements on a road or footway,Highway Condition,Grounds Maintenance,Road Safety & Defects
Graffiti on Council Property,Graffiti,Incivilities,Incivilities
Other (TfL),Other,Other,Other
Pavement Defect,Pavement /Footway Defects,Pavement /Footway Defects,Road Safety & Defects
Tree Danger/Obstruction on PN,Fallen/Dangerous Trees,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Fences,Fences,Fences,Environmental Disruptions
Bridges & Walls,Bridge/Culvert Defects,Bridge/Culvert Defects,Environmental Disruptions
Ironwork Collapsed,Manhole Covers,Drainage,Environmental Health
Hanging / broken branch,Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Lamp post,Street Lights,Street Lights,Road Safety & Defects
Significant or Harmful Waste on Private Land,Trade Waste,Rubbish,Environmental Health
Gully/Drainage,Gullies,Drainage,Environmental Health
Vegetation (grass/hedges/trees),Overgrown Vegetation,Overgrown/Fallen Veg/Trees,Environmental Disruptions
Crew behaviour,Other,Other,Other
